playerID,URL,nameShort,nameLong,position,positionSort,minutes,ortg,usg,fg,pt3,ft,stl,turnovers,oreb,dreb,ast,blk,personalFouls,technicalFouls,ejected,points,fg_made,fg_attempted,fg_missed,pt3_made,pt3_attempted,pt3_missed,ft_made,ft_attempted,ft_missed
3922,/basketball/player/pascal-siakam-3922,P. Siakam,Pascal Siakam,F,0,37,109.2,21.2,	5-13,	2-5,	4-7,1,1,1,3,2,1,2,0,0,16,5.0,13.0,8.0,2.0,5.0,3.0,4.0,7.0,3.0
5120,/basketball/player/aaron-nesmith-5120,A. Nesmith,Aaron Nesmith,F,0,30,72.5,9.4,	1-5,	1-3,	0-0,2,1,1,5,1,2,6,0,0,3,1.0,5.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0
3725,/basketball/player/myles-turner-3725,M. Turner,Myles Turner,C,1,24,98.2,12.9,	2-4,	1-3,	1-4,0,1,1,3,1,0,3,0,0,6,2.0,4.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0
5679,/basketball/player/andrew-nembhard-5679,A. Nembhard,Andrew Nembhard,G,2,37,126.9,18.2,	4-10,	2-3,	5-6,0,2,1,4,6,0,3,0,0,15,4.0,10.0,6.0,2.0,3.0,1.0,5.0,6.0,1.0
5114,/basketball/player/tyrese-haliburton-5114,T. Haliburton,Tyrese Haliburton,G,2,7,-,-,	3-5,	3-4,	0-0,0,1,0,0,0,0,0,0,0,9,3.0,5.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0
5698,/basketball/player/bennedict-mathurin-5698,B. Mathurin,Bennedict Mathurin,F,3,33,141.9,28.4,	6-14,	2-5,	10-10,2,2,7,6,3,0,3,0,0,24,6.0,14.0,8.0,2.0,5.0,3.0,10.0,10.0,0.0
3760,/basketball/player/tj-mcconnell-3760,T. McConnell,T.J. McConnell,G,3,28,80.0,33.4,	8-13,	0-0,	0-0,1,7,0,6,3,1,2,0,0,16,8.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5109,/basketball/player/obi-toppin-5109,O. Toppin,Obi Toppin,F,3,21,-,17.8,	0-4,	0-3,	0-0,0,4,0,2,1,0,2,0,0,0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0
6033,/basketball/player/ben-sheppard-6033,B. Sheppard,Ben Sheppard,G,3,16,-,5.8,	0-1,	0-1,	0-0,0,1,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4170,/basketball/player/tony-bradley-4170,T. Bradley,Tony Bradley,C,3,5,-,-,	0-0,	0-0,	2-2,0,1,0,1,0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
