playerID,URL,nameShort,nameLong,position,positionSort,minutes,ortg,usg,fg,pt3,ft,stl,turnovers,oreb,dreb,ast,blk,personalFouls,technicalFouls,ejected,points,gameGlobalID,teamGlobalID,fg_made,fg_attempted,fg_percentage,3pt_made,3pt_attempted,3pt_percentage,ft_made,ft_attempted,ft_percentage
3922,/basketball/player/pascal-siakam-3922,P. Siakam,Pascal Siakam,F,0,37,109.2,21.2,5-13,2-5,4-7,1,1,1,3,2,1,2,0,0,16,2879653,11,5,13,38.5,2,5,40.0,4,7,57.1
5120,/basketball/player/aaron-nesmith-5120,A. Nesmith,Aaron Nesmith,F,0,30,72.5,9.4,1-5,1-3,0-0,2,1,1,5,1,2,6,0,0,3,2879653,11,1,5,20.0,1,3,33.3,0,0,0.0
3725,/basketball/player/myles-turner-3725,M. Turner,Myles Turner,C,1,24,98.2,12.9,2-4,1-3,1-4,0,1,1,3,1,0,3,0,0,6,2879653,11,2,4,50.0,1,3,33.3,1,4,25.0
5679,/basketball/player/andrew-nembhard-5679,A. Nembhard,Andrew Nembhard,G,2,37,126.9,18.2,4-10,2-3,5-6,0,2,1,4,6,0,3,0,0,15,2879653,11,4,10,40.0,2,3,66.7,5,6,83.3
5114,/basketball/player/tyrese-haliburton-5114,T. Haliburton,Tyrese Haliburton,G,2,7,-,-,3-5,3-4,0-0,0,1,0,0,0,0,0,0,0,9,2879653,11,3,5,60.0,3,4,75.0,0,0,0.0
5698,/basketball/player/bennedict-mathurin-5698,B. Mathurin,Bennedict Mathurin,F,3,33,141.9,28.4,6-14,2-5,10-10,2,2,7,6,3,0,3,0,0,24,2879653,11,6,14,42.9,2,5,40.0,10,10,100.0
3760,/basketball/player/tj-mcconnell-3760,T. McConnell,T.J. McConnell,G,3,28,80.0,33.4,8-13,0-0,0-0,1,7,0,6,3,1,2,0,0,16,2879653,11,8,13,61.5,0,0,0.0,0,0,0.0
5109,/basketball/player/obi-toppin-5109,O. Toppin,Obi Toppin,F,3,21,-,17.8,0-4,0-3,0-0,0,4,0,2,1,0,2,0,0,0,2879653,11,0,4,0.0,0,3,0.0,0,0,0.0
6033,/basketball/player/ben-sheppard-6033,B. Sheppard,Ben Sheppard,G,3,16,-,5.8,0-1,0-1,0-0,0,1,1,3,0,0,1,0,0,0,2879653,11,0,1,0.0,0,1,0.0,0,0,0.0
4170,/basketball/player/tony-bradley-4170,T. Bradley,Tony Bradley,C,3,5,-,-,0-0,0-0,2-2,0,1,0,1,0,0,2,0,0,2,2879653,11,0,0,0.0,0,0,0.0,2,2,100.0
4155,/basketball/player/thomas-bryant-4155,T. Bryant,Thomas Bryant,C,3,1,-,-,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0,2879653,11,0,1,0.0,0,1,0.0,0,0,0.0
6272,/basketball/player/johnny-furphy-6272,J. Furphy,Johnny Furphy,F,3,1,-,-,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,2879653,11,0,0,0.0,0,0,0.0,0,0,0.0
5687,/basketball/player/jalen-williams-5687,J. Williams,Jalen Williams,F,0,38,99.7,27.8,7-20,2-7,4-6,2,1,0,4,4,0,4,0,0,20,2879653,25,7,20,35.0,2,7,28.6,4,6,66.7
5697,/basketball/player/chet-holmgren-5697,C. Holmgren,Chet Holmgren,F,0,31,162.2,16.3,6-8,1-2,5-8,1,0,2,6,0,5,3,0,0,18,2879653,25,6,8,75.0,1,2,50.0,5,8,62.5
4147,/basketball/player/isaiah-hartenstein-4147,I. Hartenstein,Isaiah Hartenstein,C,1,18,120.1,18.0,3-4,0-0,1-3,1,2,3,6,4,0,0,0,0,7,2879653,25,3,4,75.0,0,0,0.0,1,3,33.3
4387,/basketball/player/shai-gilgeous-alexander-4387,S. Gilgeous-Alexander,Shai Gilgeous-Alexander,G,2,40,114.3,37.0,8-27,2-12,11-12,1,1,0,5,12,2,5,0,0,29,2879653,25,8,27,29.6,2,12,16.7,11,12,91.7
4808,/basketball/player/luguentz-dort-4808,L. Dort,Luguentz Dort,G,2,35,93.3,15.2,3-10,2-9,1-2,3,1,3,4,0,0,3,0,0,9,2879653,25,3,10,30.0,2,9,22.2,1,2,50.0
3952,/basketball/player/alex-caruso-3952,A. Caruso,Alex Caruso,G,3,32,114.3,14.1,4-10,2-5,0-0,3,0,2,1,0,1,3,0,0,10,2879653,25,4,10,40.0,2,5,40.0,0,0,0.0
5898,/basketball/player/cason-wallace-5898,C. Wallace,Cason Wallace,G,3,26,140.2,12.1,4-6,2-3,0-0,3,1,2,0,0,0,3,0,0,10,2879653,25,4,6,66.7,2,3,66.7,0,0,0.0
5412,/basketball/player/aaron-wiggins-5412,A. Wiggins,Aaron Wiggins,F,3,12,-,3.8,0-1,0-1,0-0,0,0,0,1,0,0,1,0,0,0,2879653,25,0,1,0.0,0,1,0.0,0,0,0.0
4462,/basketball/player/kenrich-williams-4462,K. Williams,Kenrich Williams,F,3,5,-,-,0-1,0-1,0-0,0,0,1,0,0,0,0,0,0,0,2879653,25,0,1,0.0,0,1,0.0,0,0,0.0
5695,/basketball/player/ousmane-dieng-5695,O. Dieng,Ousmane Dieng,F,3,1,-,-,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,2879653,25,0,0,0.0,0,0,0.0,0,0,0.0
6279,/basketball/player/dillon-jones-6279,D. Jones,Dillon Jones,F,3,1,-,-,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,0,2879653,25,0,0,0.0,0,0,0.0,0,0,0.0
6289,/basketball/player/ajay-mitchell-6289,A. Mitchell,Ajay Mitchell,G,3,1,-,-,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0,2879653,25,0,0,0.0,0,0,0.0,0,0,0.0
